Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,5,3,36,327,1,2,3,3,4,0,5,2,2,0,5,6,4,104,53,1,1,12,13,1,128,2,4,2,2,3,3,2,361,5,0,73,179,1,0,1,4,134,232,0,531,1,0,2,1,3,1,2,6,6,0,5,1,89,1,2,220,4,4,2,0,49,0,0,0,0,3,4,4,0,1,2,8,4,208500
1,0,3,51,498,1,2,3,3,2,0,24,1,2,0,2,5,7,77,26,1,1,8,8,3,0,3,4,1,2,3,1,0,482,5,0,167,441,1,0,1,4,427,0,0,259,0,1,2,0,3,1,3,4,6,1,4,1,62,1,2,149,4,4,2,187,0,0,0,0,0,3,4,4,0,4,1,8,4,181500
2,5,3,39,702,1,2,0,3,4,0,5,2,2,0,5,6,4,102,52,1,1,12,13,1,104,2,4,2,2,3,2,2,222,5,0,278,214,1,0,1,4,178,239,0,570,1,0,2,1,3,1,2,4,6,1,4,1,87,1,2,260,4,4,2,0,30,0,0,0,0,3,4,4,0,8,2,8,4,223500
3,6,3,31,489,1,2,0,3,0,0,6,2,2,0,5,6,4,19,20,1,1,13,15,3,0,3,4,0,3,1,3,0,66,5,0,346,117,1,2,1,4,208,180,0,536,1,0,1,0,3,1,2,5,6,1,2,5,84,2,3,284,4,4,2,0,24,108,0,0,0,3,4,4,0,1,0,8,0,140000
4,5,3,55,925,1,2,0,3,2,0,15,2,2,0,5,7,4,101,50,1,1,12,13,1,221,2,4,2,2,3,0,2,328,5,0,318,370,1,0,1,4,347,320,0,734,1,0,2,1,4,1,2,7,6,1,4,1,86,1,3,380,4,4,2,118,70,0,0,0,0,3,4,4,0,11,2,8,4,250000
5,4,3,56,915,1,2,0,3,4,0,11,2,2,0,0,4,4,94,45,1,1,12,13,3,0,3,4,5,2,3,3,2,372,5,0,17,140,1,0,1,4,94,80,0,315,1,0,1,1,1,1,3,3,6,0,5,1,79,2,2,166,4,4,2,11,20,0,17,0,0,3,2,2,10,9,3,8,4,143000
6,0,3,46,552,1,2,3,3,4,0,21,2,2,0,2,7,4,105,55,1,1,12,13,2,123,2,4,2,0,3,0,2,594,5,0,194,633,1,0,1,4,644,0,0,520,1,0,2,0,3,1,2,5,6,1,2,1,90,1,2,281,4,4,2,163,45,0,0,0,0,3,4,4,0,7,1,8,4,307000
7,5,3,110,593,1,2,0,3,0,0,14,4,2,0,5,6,5,74,23,1,1,6,6,2,157,3,4,1,2,3,2,0,436,1,2,120,346,1,0,1,4,317,298,0,701,1,0,2,1,3,1,3,5,6,2,4,1,59,1,2,170,4,4,2,149,156,94,0,0,0,3,4,2,2,10,3,8,4,200000
8,4,4,22,138,1,2,3,3,4,0,17,0,2,0,0,6,4,35,0,1,1,3,15,3,0,3,4,0,3,3,3,5,0,5,0,569,237,1,2,1,1,255,177,0,565,0,0,2,0,2,2,3,6,2,2,4,5,19,2,2,155,1,4,2,40,0,83,0,0,0,3,4,4,0,3,2,8,0,129900
9,14,3,21,222,1,2,3,3,0,0,3,0,0,1,1,4,5,42,0,1,1,8,8,3,0,3,4,0,3,3,3,2,433,5,0,67,269,1,0,1,4,295,0,0,146,1,0,1,0,2,2,3,3,6,2,4,1,27,1,1,9,2,4,2,0,1,0,0,0,0,3,4,4,0,0,2,8,4,118000
10,0,3,41,691,1,2,3,3,4,0,19,2,2,0,2,4,4,66,15,3,1,6,6,3,0,3,4,1,3,3,3,4,458,5,0,63,300,1,0,1,4,266,0,0,125,1,0,1,0,3,1,3,3,6,0,5,5,51,2,1,91,4,4,2,0,0,0,0,0,0,3,4,4,0,1,2,8,4,129500
11,5,3,56,769,1,2,0,3,4,0,16,2,2,0,5,8,4,106,56,3,1,14,15,2,186,0,4,2,0,3,3,2,493,5,0,95,387,1,0,1,4,374,352,0,763,1,0,3,0,4,1,0,9,6,2,2,3,91,0,3,332,4,4,2,81,11,0,0,0,0,3,4,4,0,6,0,6,5,345000
12,0,3,110,853,1,2,1,3,4,0,19,2,2,0,2,4,5,63,12,3,1,6,10,3,0,3,4,1,3,3,3,0,376,5,0,93,209,1,4,1,4,172,0,0,69,1,0,1,0,2,1,3,2,6,0,5,5,48,2,1,76,4,4,2,74,0,0,0,35,0,3,4,4,0,8,2,8,4,144000
13,0,3,62,630,1,2,0,3,4,0,5,2,2,0,2,6,4,107,57,1,1,12,13,2,203,2,4,2,2,3,0,5,0,5,0,724,557,1,0,1,4,545,0,0,393,0,0,2,0,3,1,2,5,6,1,2,1,92,1,3,382,4,4,2,91,22,0,0,0,0,3,4,4,0,7,1,6,5,279500
14,0,3,110,661,1,2,0,3,0,0,12,2,2,0,2,5,4,61,10,3,1,8,8,1,139,3,4,1,3,3,3,1,373,5,0,334,435,1,4,1,4,422,0,0,255,1,0,1,1,2,1,3,3,6,1,1,1,46,1,1,76,4,4,2,0,162,69,0,0,0,3,1,4,0,4,2,8,4,157000
15,3,4,22,138,1,2,3,3,0,0,3,2,2,0,1,6,7,33,51,1,1,13,14,3,0,3,4,0,3,3,3,5,0,5,0,516,164,1,0,1,0,132,0,0,46,0,0,1,0,2,1,3,3,6,0,5,5,77,2,2,240,4,4,2,15,94,0,0,0,0,3,0,4,0,6,1,8,4,132000
16,0,3,110,699,1,2,0,3,1,0,12,2,2,0,2,5,6,71,20,1,1,13,14,1,119,3,4,1,3,3,3,0,281,5,0,271,279,1,0,1,4,243,0,0,111,1,0,1,0,2,1,3,3,6,1,4,1,56,0,2,166,4,4,2,0,0,0,0,0,0,3,4,2,10,2,4,8,4,149000
17,10,3,43,649,1,2,3,3,4,0,19,2,2,2,2,3,4,68,17,1,1,8,8,3,0,3,4,3,4,4,4,6,0,6,0,0,0,1,4,1,4,447,0,0,277,0,0,2,0,2,2,3,4,6,0,5,4,53,2,2,196,4,4,2,0,0,0,0,0,0,3,4,2,6,9,0,8,4,90000
18,0,3,37,897,1,2,3,3,4,0,20,5,2,0,2,4,4,105,54,1,1,12,13,3,0,3,4,2,3,3,3,2,323,5,0,303,351,1,0,1,4,322,0,0,169,1,0,1,1,3,1,2,4,6,0,5,5,90,2,2,240,4,4,2,0,86,0,0,0,0,3,4,4,0,5,2,8,4,159000
19,0,3,41,231,1,2,3,3,4,0,12,2,2,0,2,4,5,59,15,3,1,3,10,3,0,3,4,1,3,3,3,3,231,5,0,337,295,1,4,1,4,472,0,0,300,0,0,1,0,3,1,3,4,2,0,5,1,44,2,1,46,4,4,2,0,0,0,0,0,0,3,2,4,0,4,3,0,0,139000
20,5,3,72,922,1,2,0,3,0,0,16,2,2,0,5,7,4,106,56,1,1,12,13,1,234,2,4,2,0,3,0,5,0,5,0,646,380,1,0,1,4,357,372,0,776,0,0,3,1,4,1,2,7,6,1,2,3,91,1,3,390,4,4,2,154,128,0,0,0,0,3,4,4,0,10,0,6,5,325300
